brand,model,model_link,variant,variant_link,available
Gaura Electric,Warrior 5G,https://www.zigwheels.com/gaura-electric-bikes/warrior-5g,Warrior 5G Pro,https://www.zigwheels.com/gaura-electric-bikes/warrior-5g/pro,1
Gaura Electric,Sniper 5G,https://www.zigwheels.com/gaura-electric-bikes/sniper-5g,Sniper 5G STD,https://www.zigwheels.com/gaura-electric-bikes/sniper-5g/std,1
Gaura Electric,Sniper 5G,https://www.zigwheels.com/gaura-electric-bikes/sniper-5g,Sniper 5G Nano,https://www.zigwheels.com/gaura-electric-bikes/sniper-5g/nano,1
Gaura Electric,Sniper 5G,https://www.zigwheels.com/gaura-electric-bikes/sniper-5g,Sniper 5G Lite,https://www.zigwheels.com/gaura-electric-bikes/sniper-5g/lite,1
Fujiyama,Spectra,https://www.zigwheels.com/fujiyama-bikes/spectra,"Spectra 48 V, 28 Ah",https://www.zigwheels.com/fujiyama-bikes/spectra/48-v-28-ah,1
Fujiyama,Spectra,https://www.zigwheels.com/fujiyama-bikes/spectra,"Spectra 60 V, 28 Ah",https://www.zigwheels.com/fujiyama-bikes/spectra/60-v-28-ah,1
Fujiyama,Spectra,https://www.zigwheels.com/fujiyama-bikes/spectra,"Spectra 60 V, 30 Ah",https://www.zigwheels.com/fujiyama-bikes/spectra/60-v-30-ah,1
Fujiyama,Spectra Pro,https://www.zigwheels.com/fujiyama-bikes/spectra-pro,"Spectra Pro 48 V, 28 Ah",https://www.zigwheels.com/fujiyama-bikes/spectra-pro/48-v-28-ah,1
Fujiyama,Spectra Pro,https://www.zigwheels.com/fujiyama-bikes/spectra-pro,"Spectra Pro 60 V, 28 Ah",https://www.zigwheels.com/fujiyama-bikes/spectra-pro/60-v-28-ah,1
Fujiyama,Spectra Pro,https://www.zigwheels.com/fujiyama-bikes/spectra-pro,"Spectra Pro 60 V, 30 Ah",https://www.zigwheels.com/fujiyama-bikes/spectra-pro/60-v-30-ah,1
Fujiyama,Ozone,https://www.zigwheels.com/fujiyama-bikes/ozone,Ozone STD,https://www.zigwheels.com/fujiyama-bikes/ozone/std,1
Flycon Motors,Empire +,https://www.zigwheels.com/flycon-motors-bikes/empire-plus,"Empire + 60 V, 30 Ah",https://www.zigwheels.com/flycon-motors-bikes/empire-plus/60-v-30-ah,1
