brand,model,model_link
toyota,c-hr,https://www.zigwheels.com/toyota-cars/c-hr
toyota,avanza,https://www.zigwheels.com/toyota-cars/avanza
toyota,mirai,https://www.zigwheels.com/toyota-cars/mirai
toyota,corolla 2021,https://www.zigwheels.com/toyota-cars/corolla-2020
toyota,yaris 2021,https://www.zigwheels.com/toyota-cars/yaris-2021
toyota,land cruiser 300,https://www.zigwheels.com/toyota-cars/land-cruiser-300
toyota,belta,https://www.zigwheels.com/toyota-cars/belta
toyota,vios,https://www.zigwheels.com/toyota-cars/vios
toyota,bz4x,https://www.zigwheels.com/toyota-cars/bz4x
toyota,land cruiser 250,https://www.zigwheels.com/toyota-cars/land-cruiser-250
toyota,urban cruiser,https://www.zigwheels.com/toyota-cars/urban-cruiser
toyota,3-row suv,https://www.zigwheels.com/toyota-cars/3-row-suv
bmw,m5,https://www.zigwheels.com/bmw-cars/m5
bmw,x1,https://www.zigwheels.com/bmw-cars/x1
bmw,m3,https://www.zigwheels.com/bmw-cars/m3
bmw,m8 coupe competition,https://www.zigwheels.com/bmw-cars/m8-coupe-competition
bmw,x5,https://www.zigwheels.com/bmw-cars/x5
bmw,x7,https://www.zigwheels.com/bmw-cars/x7
bmw,z4,https://www.zigwheels.com/bmw-cars/z4
bmw,x3,https://www.zigwheels.com/bmw-cars/x3
bmw,xm,https://www.zigwheels.com/bmw-cars/xm
bmw,i7,https://www.zigwheels.com/bmw-cars/i7
bmw,3 series,https://www.zigwheels.com/bmw-cars/3-series
bmw,5 series,https://www.zigwheels.com/bmw-cars/5-series
bmw,m2,https://www.zigwheels.com/bmw-cars/m2
bmw,7 series,https://www.zigwheels.com/bmw-cars/7-series
bmw,2 series,https://www.zigwheels.com/bmw-cars/2-series
bmw,ix1,https://www.zigwheels.com/bmw-cars/ix1
bmw,m4 competition,https://www.zigwheels.com/bmw-cars/m4-competition
bmw,x2,https://www.zigwheels.com/bmw-cars/x2
bmw,m4 cs,https://www.zigwheels.com/bmw-cars/m4-cs
bmw,ix,https://www.zigwheels.com/bmw-cars/ix
bmw,4 series,https://www.zigwheels.com/bmw-cars/4-series
bmw,i3,https://www.zigwheels.com/bmw-cars/i3
bmw,i4,https://www.zigwheels.com/bmw-cars/i4
bmw,3 series long wheelbase,https://www.zigwheels.com/bmw-cars/3-series-gran-limousine
bmw,i5,https://www.zigwheels.com/bmw-cars/i5
bmw,2 series 2025,https://www.zigwheels.com/bmw-cars/2-series-2025
bmw,ix 2025,https://www.zigwheels.com/bmw-cars/ix-2025
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue
hyundai,verna,https://www.zigwheels.com/hyundai-cars/verna
hyundai,i20,https://www.zigwheels.com/hyundai-cars/i20
hyundai,exter,https://www.zigwheels.com/hyundai-cars/exter
hyundai,aura,https://www.zigwheels.com/hyundai-cars/aura
hyundai,alcazar,https://www.zigwheels.com/hyundai-cars/alcazar
hyundai,creta electric,https://www.zigwheels.com/hyundai-cars/creta-electric
hyundai,tucson,https://www.zigwheels.com/hyundai-cars/tucson
hyundai,palisade,https://www.zigwheels.com/hyundai-cars/palisade
hyundai,creta n line,https://www.zigwheels.com/hyundai-cars/creta-n-line
hyundai,venue n line,https://www.zigwheels.com/hyundai-cars/venue-n-line
hyundai,i30,https://www.zigwheels.com/hyundai-cars/i30
